high_low,cumle,cumlenin_sorusu
low,Bir müzik sayfasına göre konser alanı değişti.,Bu habere göre konsere gitmeden önce etkinlik alanını kontrol etme ihtimaliniz nedir? (1–7)
low,Bir müzik sayfasına göre konser alanı değişmiş.,Bu habere göre konsere gitmeden önce etkinlik alanını kontrol etme ihtimaliniz nedir? (1–7)
high,Ulaştırma kurumunun açıklamasına göre tren seferlerine ek vagon kondu.,Bu habere göre tren bileti alma ihtimaliniz nedir? (1–7)
high,Ulaştırma kurumunun açıklamasına göre tren seferlerine ek vagon konmuş.,Bu habere göre tren bileti alma ihtimaliniz nedir? (1–7)
low,Bir yolcu grubuna göre tren seferlerine ek vagon kondu.,Bu habere göre tren bileti alma ihtimaliniz nedir? (1–7)
low,Bir yolcu grubuna göre tren seferlerine ek vagon konmuş.,Bu habere göre tren bileti alma ihtimaliniz nedir? (1–7)
high,İl milli eğitim müdürlüğüne göre sınav merkezi listesi yayımlandı.,Bu habere göre sınav merkezinizi kontrol etme ihtimaliniz nedir? (1–7)
high,İl milli eğitim müdürlüğüne göre sınav merkezi listesi yayımlanmış.,Bu habere göre sınav merkezinizi kontrol etme ihtimaliniz nedir? (1–7)
low,Bir sınav hazırlık hesabına göre sınav merkezi listesi yayımlandı.,Bu habere göre sınav merkezinizi kontrol etme ihtimaliniz nedir? (1–7)
low,Bir sınav hazırlık hesabına göre sınav merkezi listesi yayımlanmış.,Bu habere göre sınav merkezinizi kontrol etme ihtimaliniz nedir? (1–7)
high,Belediye meclisi kararına göre sahil yolunda hız sınırı düşürüldü.,Bu habere göre sahil yolunda daha dikkatli araç kullanma ihtimaliniz nedir? (1–7)
high,Belediye meclisi kararına göre sahil yolunda hız sınırı düşürülmüş.,Bu habere göre sahil yolunda daha dikkatli araç kullanma ihtimaliniz nedir? (1–7)
low,Bir sürücü forumuna göre sahil yolunda hız sınırı düşürüldü.,Bu habere göre sahil yolunda daha dikkatli araç kullanma ihtimaliniz nedir? (1–7)
low,Bir sürücü forumuna göre sahil yolunda hız sınırı düşürülmüş.,Bu habere göre sahil yolunda daha dikkatli araç kullanma ihtimaliniz nedir? (1–7)
high,Otelin resmi bilgilendirmesine göre havuz bakım nedeniyle kapatıldı.,Bu habere göre otele gitmeden önce havuz durumunu kontrol etme ihtimaliniz nedir? (1–7)
high,Otelin resmi bilgilendirmesine göre havuz bakım nedeniyle kapatılmış.,Bu habere göre otele gitmeden önce havuz durumunu kontrol etme ihtimaliniz nedir? (1–7)
low,Bir tatil yorumuna göre havuz bakım nedeniyle kapatıldı.,Bu habere göre otele gitmeden önce havuz durumunu kontrol etme ihtimaliniz nedir? (1–7)
low,Bir tatil yorumuna göre havuz bakım nedeniyle kapatılmış.,Bu habere göre otele gitmeden önce havuz durumunu kontrol etme ihtimaliniz nedir? (1–7)
high,Mağazanın açıklamasına göre indirim kampanyası pazartesi sona erdi.,Bu habere göre indirimi kontrol etme ihtimaliniz nedir? (1–7)
high,Mağazanın açıklamasına göre indirim kampanyası pazartesi sona ermiş.,Bu habere göre indirimi kontrol etme ihtimaliniz nedir? (1–7)
low,Bir alışveriş grubuna göre indirim kampanyası pazartesi sona erdi.,Bu habere göre indirimi kontrol etme ihtimaliniz nedir? (1–7)
low,Bir alışveriş grubuna göre indirim kampanyası pazartesi sona ermiş.,Bu habere göre indirimi kontrol etme ihtimaliniz nedir? (1–7)
high,Enerji dağıtım şirketine göre mahalledeki elektrik kesintisi giderildi.,Bu habere göre evdeki elektriği kontrol etme ihtimaliniz nedir? (1–7)
high,Enerji dağıtım şirketine göre mahalledeki elektrik kesintisi giderilmiş.,Bu habere göre evdeki elektriği kontrol etme ihtimaliniz nedir? (1–7)
low,Bir apartman grubuna göre mahalledeki elektrik kesintisi giderildi.,Bu habere göre evdeki elektriği kontrol etme ihtimaliniz nedir? (1–7)
low,Bir apartman grubuna göre mahalledeki elektrik kesintisi giderilmiş.,Bu habere göre evdeki elektriği kontrol etme ihtimaliniz nedir? (1–7)
high,Su idaresinin duyurusuna göre bakım çalışması gece tamamlandı.,Bu habere göre musluk suyunu kullanma ihtimaliniz nedir? (1–7)
high,Su idaresinin duyurusuna göre bakım çalışması gece tamamlanmış.,Bu habere göre musluk suyunu kullanma ihtimaliniz nedir? (1–7)
low,Bir komşu paylaşımına göre bakım çalışması gece tamamlandı.,Bu habere göre musluk suyunu kullanma ihtimaliniz nedir? (1–7)
low,Bir komşu paylaşımına göre bakım çalışması gece tamamlanmış.,Bu habere göre musluk suyunu kullanma ihtimaliniz nedir? (1–7)
high,İl kültür müdürlüğüne göre tarihi konak restorasyona alındı.,Bu habere göre tarihi konağı ziyaret planınızı erteleme ihtimaliniz nedir? (1–7)
high,İl kültür müdürlüğüne göre tarihi konak restorasyona alınmış.,Bu habere göre tarihi konağı ziyaret planınızı erteleme ihtimaliniz nedir? (1–7)
low,Bir yerel tarih sayfasına göre tarihi konak restorasyona alındı.,Bu habere göre tarihi konağı ziyaret planınızı erteleme ihtimaliniz nedir? (1–7)
low,Bir yerel tarih sayfasına göre tarihi konak restorasyona alınmış.,Bu habere göre tarihi konağı ziyaret planınızı erteleme ihtimaliniz nedir? (1–7)
high,Spor federasyonuna göre turnuva takvimi erkene çekildi.,Bu habere göre turnuva programınızı yeniden düzenleme ihtimaliniz nedir? (1–7)
high,Spor federasyonuna göre turnuva takvimi erkene çekilmiş.,Bu habere göre turnuva programınızı yeniden düzenleme ihtimaliniz nedir? (1–7)
low,Bir spor yorumcusuna göre turnuva takvimi erkene çekildi.,Bu habere göre turnuva programınızı yeniden düzenleme ihtimaliniz nedir? (1–7)
low,Bir spor yorumcusuna göre turnuva takvimi erkene çekilmiş.,Bu habere göre turnuva programınızı yeniden düzenleme ihtimaliniz nedir? (1–7)
high,Belediye temizlik işleri birimine göre parkta yenileme çalışması başlatıldı.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
high,Belediye temizlik işleri birimine göre parkta yenileme çalışması başlatılmış.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
low,Bir mahalle sakininin paylaşımına göre parkta yenileme çalışması başlatıldı.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
low,Bir mahalle sakininin paylaşımına göre parkta yenileme çalışması başlatılmış.,Bu habere göre parka gitme ihtimaliniz nedir? (1–7)
high,Otobüs firmasının duyurusuna göre gece seferlerine ek sefer eklendi.,Bu habere göre gece otobüs seferi için bilet alma ihtimaliniz nedir? (1–7)
high,Otobüs firmasının duyurusuna göre gece seferlerine ek sefer eklenmiş.,Bu habere göre gece otobüs seferi için bilet alma ihtimaliniz nedir? (1–7)
low,Bir yolcu yorumuna göre gece seferlerine ek sefer eklendi.,Bu habere göre gece otobüs seferi için bilet alma ihtimaliniz nedir? (1–7)
low,Bir yolcu yorumuna göre gece seferlerine ek sefer eklenmiş.,Bu habere göre gece otobüs seferi için bilet alma ihtimaliniz nedir? (1–7)
high,Üniversite rektörlüğüne göre bahar şenliği programı açıklandı.,Bu habere göre bahar şenliğine katılma ihtimaliniz nedir? (1–7)
high,Üniversite rektörlüğüne göre bahar şenliği programı açıklanmış.,Bu habere göre bahar şenliğine katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs haber hesabına göre bahar şenliği programı açıklandı.,Bu habere göre bahar şenliğine katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs haber hesabına göre bahar şenliği programı açıklanmış.,Bu habere göre bahar şenliğine katılma ihtimaliniz nedir? (1–7)
high,Kütüphane yönetimine göre ödünç kitap süresi uzatıldı.,Bu habere göre ödünç aldığınız kitabı daha geç iade etme ihtimaliniz nedir? (1–7)
high,Kütüphane yönetimine göre ödünç kitap süresi uzatılmış.,Bu habere göre ödünç aldığınız kitabı daha geç iade etme ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre ödünç kitap süresi uzatıldı.,Bu habere göre ödünç aldığınız kitabı daha geç iade etme ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre ödünç kitap süresi uzatılmış.,Bu habere göre ödünç aldığınız kitabı daha geç iade etme ihtimaliniz nedir? (1–7)
high,Üniversitenin ulaşım biriminin duyurusuna göre kampüs servis saatleri sabah derslerine uygun şekilde yenilendi.,Bu habere göre kampüs servisini kullanma ihtimaliniz nedir? (1–7)
high,Üniversitenin ulaşım biriminin duyurusuna göre kampüs servis saatleri sabah derslerine uygun şekilde yenilenmiş.,Bu habere göre kampüs servisini kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci grubundaki paylaşıma göre kampüs servis saatleri sabah derslerine uygun şekilde yenilendi.,Bu habere göre kampüs servisini kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci grubundaki paylaşıma göre kampüs servis saatleri sabah derslerine uygun şekilde yenilenmiş.,Bu habere göre kampüs servisini kullanma ihtimaliniz nedir? (1–7)
high,Kızılay’ın resmi açıklamasına göre üniversite kampüsünde kan bağışı kampanyası başlatıldı.,Bu habere göre kan bağışı kampanyasına katılma ihtimaliniz nedir? (1–7)
high,Kızılay’ın resmi açıklamasına göre üniversite kampüsünde kan bağışı kampanyası başlatılmış.,Bu habere göre kan bağışı kampanyasına katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs hesabına göre üniversite kampüsünde kan bağışı kampanyası başlatıldı.,Bu habere göre kan bağışı kampanyasına katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs hesabına göre üniversite kampüsünde kan bağışı kampanyası başlatılmış.,Bu habere göre kan bağışı kampanyasına katılma ihtimaliniz nedir? (1–7)
high,Üniversitenin sağlık merkezi duyurusuna göre psikolojik danışmanlık randevuları artırıldı.,Bu habere göre danışmanlık merkezinden randevu alma ihtimaliniz nedir? (1–7)
high,Üniversitenin sağlık merkezi duyurusuna göre psikolojik danışmanlık randevuları artırılmış.,Bu habere göre danışmanlık merkezinden randevu alma ihtimaliniz nedir? (1–7)
low,Bir öğrenci hesabına göre psikolojik danışmanlık randevuları artırıldı.,Bu habere göre danışmanlık merkezinden randevu alma ihtimaliniz nedir? (1–7)
low,Bir öğrenci hesabına göre psikolojik danışmanlık randevuları artırılmış.,Bu habere göre danışmanlık merkezinden randevu alma ihtimaliniz nedir? (1–7)
high,Üniversite kütüphanesinin duyurusuna göre yeni sessiz çalışma alanı hizmete açıldı.,Bu habere göre sessiz çalışma alanını kullanma ihtimaliniz nedir? (1–7)
high,Üniversite kütüphanesinin duyurusuna göre yeni sessiz çalışma alanı hizmete açılmış.,Bu habere göre sessiz çalışma alanını kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre yeni sessiz çalışma alanı hizmete açıldı.,Bu habere göre sessiz çalışma alanını kullanma ihtimaliniz nedir? (1–7)
low,Bir öğrenci paylaşımına göre yeni sessiz çalışma alanı hizmete açılmış.,Bu habere göre sessiz çalışma alanını kullanma ihtimaliniz nedir? (1–7)
high,Belediyenin çevre müdürlüğüne göre mahallede geri dönüşüm toplama günü değiştirildi.,Bu habere göre geri dönüşüm atıklarınızı belirtilen günde çıkarma ihtimaliniz nedir? (1–7)
high,Belediyenin çevre müdürlüğüne göre mahallede geri dönüşüm toplama günü değiştirilmiş.,Bu habere göre geri dönüşüm atıklarınızı belirtilen günde çıkarma ihtimaliniz nedir? (1–7)
low,Bir apartman grubuna göre mahallede geri dönüşüm toplama günü değiştirildi.,Bu habere göre geri dönüşüm atıklarınızı belirtilen günde çıkarma ihtimaliniz nedir? (1–7)
low,Bir apartman grubuna göre mahallede geri dönüşüm toplama günü değiştirilmiş.,Bu habere göre geri dönüşüm atıklarınızı belirtilen günde çıkarma ihtimaliniz nedir? (1–7)
high,Organizasyon şirketinin açıklamasına göre konser için sınırlı sayıda ek bilet satışa çıktı.,Bu habere göre konser için bilet alma ihtimaliniz nedir? (1–7)
high,Organizasyon şirketinin açıklamasına göre konser için sınırlı sayıda ek bilet satışa çıkmış.,Bu habere göre konser için bilet alma ihtimaliniz nedir? (1–7)
low,Bir müzik forumuna göre konser için sınırlı sayıda ek bilet satışa çıktı.,Bu habere göre konser için bilet alma ihtimaliniz nedir? (1–7)
low,Bir müzik forumuna göre konser için sınırlı sayıda ek bilet satışa çıkmış.,Bu habere göre konser için bilet alma ihtimaliniz nedir? (1–7)
high,Üniversite sağlık merkezine göre kampüste ücretsiz göz muayenesi başlatıldı.,Bu habere göre kampüsteki sağlık muayenesine katılma ihtimaliniz nedir? (1–7)
high,Üniversite sağlık merkezine göre kampüste ücretsiz göz muayenesi başlatılmış.,Bu habere göre kampüsteki sağlık muayenesine katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs öğrencisine göre kampüste ücretsiz göz muayenesi başlatıldı.,Bu habere göre kampüsteki sağlık muayenesine katılma ihtimaliniz nedir? (1–7)
low,Bir kampüs öğrencisine göre kampüste ücretsiz göz muayenesi başlatılmış.,Bu habere göre kampüsteki sağlık muayenesine katılma ihtimaliniz nedir? (1–7)
high,Belediyenin sosyal yardım birimine göre askıda yemek uygulaması yeni lokantalarda başladı.,Bu habere göre askıda yemek uygulamasına destek verme ihtimaliniz nedir? (1–7)
high,Belediyenin sosyal yardım birimine göre askıda yemek uygulaması yeni lokantalarda başlamış.,Bu habere göre askıda yemek uygulamasına destek verme ihtimaliniz nedir? (1–7)
low,Bir mahalle hesabına göre askıda yemek uygulaması yeni lokantalarda başladı.,Bu habere göre askıda yemek uygulamasına destek verme ihtimaliniz nedir? (1–7)
low,Bir mahalle hesabına göre askıda yemek uygulaması yeni lokantalarda başlamış.,Bu habere göre askıda yemek uygulamasına destek verme ihtimaliniz nedir? (1–7)
high,Spor tesisinin resmi duyurusuna göre buz pisti için yeni halk seansları açıldı.,Bu habere göre buz pistine gitme ihtimaliniz nedir? (1–7)
high,Spor tesisinin resmi duyurusuna göre buz pisti için yeni halk seansları açılmış.,Bu habere göre buz pistine gitme ihtimaliniz nedir? (1–7)
low,Bir etkinlik sayfasına göre buz pisti için yeni halk seansları açıldı.,Bu habere göre buz pistine gitme ihtimaliniz nedir? (1–7)
low,Bir etkinlik sayfasına göre buz pisti için yeni halk seansları açılmış.,Bu habere göre buz pistine gitme ihtimaliniz nedir? (1–7)
high,Spor müdürlüğünün açıklamasına göre yetişkinler için yeni yüzme kursu açıldı.,Bu habere göre yüzme kursuna kayıt yaptırma ihtimaliniz nedir? (1–7)
high,Spor müdürlüğünün açıklamasına göre yetişkinler için yeni yüzme kursu açılmış.,Bu habere göre yüzme kursuna kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir spor grubuna göre yetişkinler için yeni yüzme kursu açıldı.,Bu habere göre yüzme kursuna kayıt yaptırma ihtimaliniz nedir? (1–7)
low,Bir spor grubuna göre yetişkinler için yeni yüzme kursu açılmış.,Bu habere göre yüzme kursuna kayıt yaptırma ihtimaliniz nedir? (1–7)
high,Dil kursunun resmi duyurusuna göre yeni dönem için seviye belirleme sınavı açıldı.,Bu habere göre seviye sınavına girme ihtimaliniz nedir? (1–7)
high,Dil kursunun resmi duyurusuna göre yeni dönem için seviye belirleme sınavı açılmış.,Bu habere göre seviye sınavına girme ihtimaliniz nedir? (1–7)
low,Bir öğrenci grubuna göre yeni dönem için seviye belirleme sınavı açıldı.,Bu habere göre seviye sınavına girme ihtimaliniz nedir? (1–7)
low,Bir öğrenci grubuna göre yeni dönem için seviye belirleme sınavı açılmış.,Bu habere göre seviye sınavına girme ihtimaliniz nedir? (1–7)
